,Symbol,Name,Market Cap,Country,Sector,Industry,XGB StragyReturn,XGB recall -1,XGB recall 0,XGB recall 1,XGB precision -1 ,XGB precision 0,XGB precision 1,XGB accuracy,RandomForest StragyReturn,RandomForest recall -1,RandomForest recall 0,RandomForest recall 1,RandomForest precision -1 ,RandomForest precision 0,RandomForest precision 1,RandomForest accuracy,KNN StragyReturn,KNN recall -1,KNN recall 0,KNN recall 1,KNN precision -1 ,KNN precision 0,KNN precision 1,KNN accuracy,Stacking StragyReturn,Stacking recall -1,Stacking recall 0,Stacking recall 1,Stacking precision -1 ,Stacking precision 0,Stacking precision 1,Stacking accuracy,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1
0,CWT,California Water Service Group Common Stock,3530522880.0,United States,Public Utilities,Water Supply,-3.0090129863731095e-05,0.313953488372093,0.5072463768115942,0.5072463768115942,0.3253012048192771,0.2966101694915254,0.2966101694915254,0.31983805668016196,-0.00014992332186313962,0.1744186046511628,0.782608695652174,0.782608695652174,0.6,0.3050847457627119,0.3050847457627119,0.3360323886639676,-8.506776544018146e-05,0.3023255813953488,0.391304347826087,0.391304347826087,0.37681159420289856,0.27835051546391754,0.27835051546391754,0.31983805668016196,-5.158536671605103e-05,0.3953488372093023,0.057971014492753624,0.057971014492753624,0.3655913978494624,0.10810810810810811,0.10810810810810811,0.3481781376518219,,,,,,,
0,CX,Cemex S.A.B. de C.V. Sponsored ADR,9073045964.0,Mexico,Capital Goods,Building Materials,-0.00025316421482671247,0.5649717514124294,0.35625,0.35625,0.5208333333333334,0.4014084507042254,0.4014084507042254,0.4922779922779923,-0.00021119603305655289,0.5536723163841808,0.34375,0.34375,0.4803921568627451,0.3503184713375796,0.3503184713375796,0.44594594594594594,-4.128256620531023e-05,0.4067796610169492,0.325,0.325,0.35467980295566504,0.2905027932960894,0.2905027932960894,0.3416988416988417,-0.00023236928496235093,0.5254237288135594,0.375,0.375,0.5138121546961326,0.3973509933774834,0.3973509933774834,0.4806949806949807,,,,,,,
0,CXDO,Crexendo Inc. Common Stock,114064226.0,United States,Consumer Services,Telecommunications Equipment,-0.00047226764899378646,0.12,0.4166666666666667,0.4166666666666667,0.3,0.5263157894736842,0.5263157894736842,0.36507936507936506,-0.0004726657111217488,0.28,0.4583333333333333,0.4583333333333333,0.3684210526315789,0.4583333333333333,0.4583333333333333,0.38095238095238093,6.636300860405227e-05,0.4,0.375,0.375,0.4166666666666667,0.391304347826087,0.391304347826087,0.38095238095238093,0.001536758753699851,0.28,0.25,0.25,0.3181818181818182,0.35294117647058826,0.35294117647058826,0.23809523809523808,,,,,,,
0,CXE,MFS High Income Municipal Trust Common Stock,159194523.0,United States,Finance,Investment Managers,-0.0003171137563737615,0.3684210526315789,0.46153846153846156,0.46153846153846156,0.7,0.375,0.375,0.5,-0.0006162840543110948,0.7368421052631579,0.07692307692307693,0.07692307692307693,0.5185185185185185,0.3333333333333333,0.3333333333333333,0.6086956521739131,5.412149827336339e-05,0.0,0.46153846153846156,0.46153846153846156,0.0,0.23076923076923078,0.23076923076923078,0.2391304347826087,-5.248610660111814e-05,0.05263157894736842,0.6153846153846154,0.6153846153846154,1.0,0.26666666666666666,0.26666666666666666,0.30434782608695654,,,,,,,
0,CXH,MFS Investment Grade Municipal Trust Common Stock,90100323.0,United States,Finance,Investment Managers,-0.0006873546866072908,1.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.5,0.5,0.4666666666666667,-0.00046446490332051826,1.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4,0.4,0.4,-9.772088166779291e-05,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2,0.2,0.26666666666666666,0.00012701863272699705,0.25,0.0,0.0,0.14285714285714285,0.0,0.0,0.2,,,,,,,
0,CXP,Columbia Property Trust Inc. Common Stock,2201459724.0,United States,Consumer Services,Real Estate Investment Trusts,-8.16066802610857e-05,0.27631578947368424,0.717948717948718,0.717948717948718,0.4883720930232558,0.5384615384615384,0.5384615384615384,0.5714285714285714,-8.706254091349593e-05,0.34210526315789475,0.7094017094017094,0.7094017094017094,0.5652173913043478,0.5496688741721855,0.5496688741721855,0.5902255639097744,-5.8684765260304414e-05,0.5131578947368421,0.49572649572649574,0.49572649572649574,0.41935483870967744,0.5272727272727272,0.5272727272727272,0.4849624060150376,-4.7487088109015467e-05,0.0,0.8632478632478633,0.8632478632478633,0.0,0.4697674418604651,0.4697674418604651,0.5075187969924813,,,,,,,
0,CXW,CoreCivic Inc. Common Stock,1394100426.0,United States,Consumer Services,Real Estate Investment Trusts,3.685932415754963e-05,0.18181818181818182,0.5191256830601093,0.5191256830601093,0.3561643835616438,0.4377880184331797,0.4377880184331797,0.3695652173913043,5.9071069326101565e-05,0.17482517482517482,0.14754098360655737,0.14754098360655737,0.4032258064516129,0.48214285714285715,0.48214285714285715,0.3239130434782609,1.699320101622267e-05,0.17482517482517482,0.7759562841530054,0.7759562841530054,0.38461538461538464,0.42388059701492536,0.42388059701492536,0.4043478260869565,-6.611339108641408e-05,0.3706293706293706,0.24043715846994534,0.24043715846994534,0.30994152046783624,0.3548387096774194,0.3548387096774194,0.33695652173913043,,,,,,,
0,CYAD,Celyad Oncology SA American Depositary Shares,63571126.0,Belgium,Health Care,Biotechnology: Pharmaceutical Preparations,-0.00256685673786738,0.625,0.5714285714285714,0.5714285714285714,0.5555555555555556,0.2857142857142857,0.2857142857142857,0.391304347826087,-0.002904385433514649,0.75,0.42857142857142855,0.42857142857142855,0.5454545454545454,0.25,0.25,0.391304347826087,-0.001277559735213957,0.5,0.5714285714285714,0.5714285714285714,0.4444444444444444,0.3076923076923077,0.3076923076923077,0.391304347826087,-0.003390922809462071,0.875,0.0,0.0,0.4375,0.0,0.0,0.4782608695652174,,,,,,,
0,CYAN,Cyanotech Corporation Common Stock,19821331.0,United States,Consumer Non-Durables,Farming/Seeds/Milling,0.0032770519697619773,0.21428571428571427,0.4444444444444444,0.4444444444444444,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.2571428571428571,-0.0007230983314193178,0.2857142857142857,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.3142857142857143,-7.4683528638443e-05,0.21428571428571427,0.4444444444444444,0.4444444444444444,0.375,0.23529411764705882,0.23529411764705882,0.3142857142857143,0.0015108396385452348,0.2857142857142857,0.1111111111111111,0.1111111111111111,0.25,0.2,0.2,0.2857142857142857,,,,,,,
0,CYBE,CyberOptics Corporation Common Stock,338134588.0,United States,Capital Goods,Electronic Components,0.00025526937862513317,0.5263157894736842,0.32,0.32,0.2702702702702703,0.4444444444444444,0.4444444444444444,0.34285714285714286,2.0264292143284622e-05,0.6842105263157895,0.08,0.08,0.3023255813953488,0.25,0.25,0.2857142857142857,0.0003347823890326407,0.3684210526315789,0.36,0.36,0.28,0.45,0.45,0.37142857142857144,0.00044167548055265056,0.5263157894736842,0.04,0.04,0.21739130434782608,0.16666666666666666,0.16666666666666666,0.2714285714285714,,,,,,,
