,Symbol,Name,Market Cap,Country,Sector,Industry,XGB StragyReturn,XGB recall -1,XGB recall 0,XGB recall 1,XGB precision -1 ,XGB precision 0,XGB precision 1,XGB accuracy,RandomForest StragyReturn,RandomForest recall -1,RandomForest recall 0,RandomForest recall 1,RandomForest precision -1 ,RandomForest precision 0,RandomForest precision 1,RandomForest accuracy,KNN StragyReturn,KNN recall -1,KNN recall 0,KNN recall 1,KNN precision -1 ,KNN precision 0,KNN precision 1,KNN accuracy,Stacking StragyReturn,Stacking recall -1,Stacking recall 0,Stacking recall 1,Stacking precision -1 ,Stacking precision 0,Stacking precision 1,Stacking accuracy
0,A,Agilent Technologies Inc. Common Stock,49737334352.0,United States,Capital Goods,Electrical Products,0.00016245486036450674,0.2571428571428571,0.2647058823529412,0.2647058823529412,0.375,0.225,0.225,0.35428571428571426,0.0007240217807783222,0.2571428571428571,0.14705882352941177,0.14705882352941177,0.2857142857142857,0.2,0.2,0.32,5.635473385811489e-05,0.4,0.35294117647058826,0.35294117647058826,0.4444444444444444,0.19672131147540983,0.19672131147540983,0.3485714285714286,0.0001862331072959925,0.17142857142857143,0.47058823529411764,0.47058823529411764,0.2926829268292683,0.1839080459770115,0.1839080459770115,0.24571428571428572
0,AACG,ATA Creativity Global American Depositary Shares,55559112.0,China,Miscellaneous,Service to the Health Industry,-0.0033959018086049324,0.4791666666666667,0.5079365079365079,0.5079365079365079,0.4791666666666667,0.47058823529411764,0.47058823529411764,0.4759036144578313,-0.0016202117878060672,0.6041666666666666,0.31746031746031744,0.31746031746031744,0.34523809523809523,0.36363636363636365,0.36363636363636365,0.35542168674698793,0.0014758359786208536,0.3958333333333333,0.38095238095238093,0.38095238095238093,0.2835820895522388,0.36363636363636365,0.36363636363636365,0.3192771084337349,0.00043484785233263815,0.2916666666666667,0.49206349206349204,0.49206349206349204,0.2545454545454545,0.3780487804878049,0.3780487804878049,0.3433734939759036
0,AADI,Aadi Bioscience Inc. Common Stock,517545098.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,0.00033578580795333673,0.84,0.13636363636363635,0.13636363636363635,0.3387096774193548,0.42857142857142855,0.42857142857142855,0.35802469135802467,0.0011271142470467982,0.88,0.13636363636363635,0.13636363636363635,0.30985915492957744,0.6,0.6,0.32098765432098764,-0.00024116414113968375,0.6,0.09090909090909091,0.09090909090909091,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.30864197530864196,0.0020111769128437944,0.16,0.6363636363636364,0.6363636363636364,0.16666666666666666,0.2545454545454545,0.2545454545454545,0.2222222222222222
0,AAIC,Arlington Asset Investment Corp Class A (new),116788644.0,United States,Consumer Services,Real Estate Investment Trusts,-0.0004718799970885698,0.48148148148148145,0.2903225806451613,0.2903225806451613,0.38235294117647056,0.3829787234042553,0.3829787234042553,0.37790697674418605,-0.0009238048720476269,0.42592592592592593,0.2903225806451613,0.2903225806451613,0.3898305084745763,0.36,0.36,0.4069767441860465,-0.000639940739080062,0.25925925925925924,0.6774193548387096,0.6774193548387096,0.3783783783783784,0.3783783783783784,0.3783783783783784,0.3953488372093023,0.0001281345534529485,0.3888888888888889,0.46774193548387094,0.46774193548387094,0.3181818181818182,0.4264705882352941,0.4264705882352941,0.36627906976744184
0,AAL,American Airlines Group Inc. Common Stock,12484079984.0,United States,Transportation,Air Freight/Delivery Services,-5.1697849048513635e-05,0.5081967213114754,0.3508771929824561,0.3508771929824561,0.4189189189189189,0.4,0.4,0.38857142857142857,5.677846997812347e-06,0.6229508196721312,0.2807017543859649,0.2807017543859649,0.4,0.34782608695652173,0.34782608695652173,0.38285714285714284,0.0007207587202960172,0.5901639344262295,0.38596491228070173,0.38596491228070173,0.3829787234042553,0.3492063492063492,0.3492063492063492,0.37142857142857144,-6.620536604884181e-05,0.6885245901639344,0.14035087719298245,0.14035087719298245,0.35294117647058826,0.4,0.4,0.35428571428571426
0,AAMC,Altisource Asset Management Corp Com,44400118.0,United States,Finance,Investment Managers,-0.0017932784971681783,0.18518518518518517,0.3333333333333333,0.3333333333333333,0.20833333333333334,0.5384615384615384,0.5384615384615384,0.38235294117647056,-0.0029955581797187327,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.25,0.48,0.48,0.38235294117647056,0.0005059947881600426,0.3333333333333333,0.30952380952380953,0.30952380952380953,0.23684210526315788,0.35135135135135137,0.35135135135135137,0.29411764705882354,0.00158531252275006,0.25925925925925924,0.2619047619047619,0.2619047619047619,0.18421052631578946,0.4074074074074074,0.4074074074074074,0.28431372549019607
0,AAME,Atlantic American Corporation Common Stock,83755947.0,United States,Finance,Life Insurance,-0.003290870940634715,0.3508771929824561,0.3125,0.3125,0.425531914893617,0.2727272727272727,0.2727272727272727,0.37735849056603776,-0.004553683917773363,0.49122807017543857,0.3333333333333333,0.3333333333333333,0.45161290322580644,0.3333333333333333,0.3333333333333333,0.44025157232704404,-0.0021426704422343673,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.37254901960784315,0.2962962962962963,0.2962962962962963,0.34591194968553457,-0.0027645689089793087,0.5614035087719298,0.20833333333333334,0.20833333333333334,0.42105263157894735,0.3448275862068966,0.3448275862068966,0.41509433962264153
0,AAN,Aarons Holdings Company Inc. Common Stock ,795266819.0,United States,Miscellaneous,Diversified Commercial Services,-0.0007215242842215506,0.5571428571428572,0.2826086956521739,0.2826086956521739,0.4105263157894737,0.2765957446808511,0.2765957446808511,0.3390804597701149,0.00037199594441488513,0.6428571428571429,0.1956521739130435,0.1956521739130435,0.4411764705882353,0.20454545454545456,0.20454545454545456,0.3448275862068966,-0.000345584889220431,0.42857142857142855,0.3695652173913043,0.3695652173913043,0.4225352112676056,0.27419354838709675,0.27419354838709675,0.3333333333333333,0.00046654472983954763,0.6714285714285714,0.1956521739130435,0.1956521739130435,0.373015873015873,0.3333333333333333,0.3333333333333333,0.3505747126436782
0,AAOI,Applied Optoelectronics Inc. Common Stock,168153506.0,United States,Technology,Semiconductors,-0.0004054695547807093,0.5862068965517241,0.26229508196721313,0.26229508196721313,0.425,0.32653061224489793,0.32653061224489793,0.3505747126436782,0.0010434772765828804,0.5344827586206896,0.2459016393442623,0.2459016393442623,0.3780487804878049,0.3,0.3,0.2988505747126437,1.2545850904192385e-06,0.5172413793103449,0.29508196721311475,0.29508196721311475,0.40540540540540543,0.34615384615384615,0.34615384615384615,0.3563218390804598,0.00019673238898016755,0.5689655172413793,0.4262295081967213,0.4262295081967213,0.4520547945205479,0.48148148148148145,0.48148148148148145,0.4482758620689655
0,AAON,AAON Inc. Common Stock,4058978083.0,United States,Capital Goods,Industrial Machinery/Components,0.00033013652659958335,0.22950819672131148,0.20689655172413793,0.20689655172413793,0.2641509433962264,0.2727272727272727,0.2727272727272727,0.28160919540229884,6.794134469406896e-05,0.11475409836065574,0.017241379310344827,0.017241379310344827,0.5833333333333334,0.2,0.2,0.3390804597701149,7.204556483987267e-05,0.2459016393442623,0.27586206896551724,0.27586206896551724,0.36585365853658536,0.34782608695652173,0.34782608695652173,0.3333333333333333,0.00017058814313456632,0.32786885245901637,0.25862068965517243,0.25862068965517243,0.3389830508474576,0.3191489361702128,0.3191489361702128,0.3045977011494253
